,Unnamed: 0,Type Of Traveller,Seat Type,Route,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,reviews,stars,date,country,verified,Sentiment,Analysis
10,10,Solo Leisure,Economy Class,Glasgow to Munich via Heathrow,3.0,4.0,4.0,2.0,3,0,reported damagedruined suitcase week ago im still awaiting reply ill think twice booking ba customer service shocking say least ive followed british airway least email per week requesting update joy far,1,2024-07-15,United Kingdom,False,-0.1779,Negative
11,11,Business,Economy Class,Berlin to São Paulo via London,3.0,4.0,3.0,1.0,2,0,march st flew berlin são paulo ba encountered several issue first flight delayed several hour causing miss connection london heathrow upon arriving airport midnight given hotel voucher however hotel designated ba rudely denied checkin claiming fully booked return heathrow found different hotel paying taxi pocket result complication arrived são paulo hour late despite effort assert right seek reimbursement taxi ba customer service extremely poor phone line nonfunctional email answered automatically appropriate channel request responsive since first week march experience left extremely disappointed especially considering high standard service associated ba,1,2024-07-09,Germany,False,-0.9167,Negative
12,12,Couple Leisure,Economy Class,London to Corfu ,1.0,1.0,2.7078152753108347,1.0,1,0,worst customer experience british airway ba effectively robbing people help show compassion partner fell ill doctor note stating couldnt fly ba said theyd hold flight amount voucher valid year fair enough caveat stated u must call usable holiday package however using voucher nightmare cant use ticket original longhaul refuse refund half amount ba customer service awful rude effectively stealing u policy must stop feel held hostage solution,1,2024-07-05,United Kingdom,False,-0.6324,Negative
13,13,Solo Leisure,Economy Class,Toronto to London ,2.8635249250885315,3.2397484964461456,2.7078152753108347,2.7686892390211195,1,0,cancel flight month advance due change schedule flying american airline british airway selected seat attempted get refund selected seat aa refunded issue ba refused despite company similar policy avoid fly anyone else customer service joke taking week respond email giving justification told phone,1,2024-07-01,Canada,False,-0.2023,Negative
14,14,Couple Leisure,Economy Class,London Gatwick to Verona,1.0,1.0,1.0,1.0,1,0,flight cancelled reason given le h departure earliest offered replacement terrible use app day later unacceptable phone line work would reject call due overwhelmed even submitting claim website frustrating due terrible interface overall terrible company wholly inadequate customer service,1,2024-06-30,United Kingdom,True,-0.9657,Negative
15,15,Business,Business Class,London Heathrow to Paris CDG,4.0,5.0,3.0,1.0,3,1,route fly regularly used first class security lounge good lounge surprisingly busy great see werent departing dreaded bus gate flight time boarded ready go time six passenger show minute delay offload bag depart longer actual flight better process fast tracking hence finally arrived paris min late plus side cabin crew great even personal welcome inflight manager happens le le day,1,2024-06-26,United Kingdom,True,0.9744,Positive
16,16,Solo Leisure,Economy Class,London Heathrow to Vancouver,2.0,2.0,1.0,2.0,1,0,ba may made positive improvement club world product world traveler product catering leaf much desired first meal service slow hour serve meal portion incredibly small chicken dish contained maybe piece chicken piece broccoli piece unknown food small snack available flight real let snack landing vancouver bizarre tasting chicken pastry wrap didnt much chicken taste like pastry sweet mushy salty seat although exactly spacious tolerable although aisle narrow cabin crew passenger frequently bumped walking aisle cabin crew generally responsive passenger request twice flight came aisle drink however poor level catering made frustrating trip certainly recommend ba,6,2024-06-23,Canada,True,0.9062,Positive
17,17,Solo Leisure,Business Class,Vancouver to London Heathrow,3.0,3.0,3.0,1.0,2,0,british airway new club suite marked improvement older club world seat new club suite offer fair amount privacy especially screen door closed includes direct aisle access fully reclined seat convert fairly spacious bed although found surface side bit hard uncomfortable sleep catering board fairly good tasty appetizer main course generally well cooked although cabin crew slow meal service took almost hour departure vancouver meal service completed prior arrival light breakfast served contained croissant small egg bacon sandwich mango puree ba catering flight generally good unfortunately upon arrival heathrow passenger wait minute checked baggage arrive explanation given single member ground staff came assist passenger provide information checked baggage would arrive frustrating end otherwise fairly enjoyable trip club world left poor last impression ba,3,2024-06-23,Canada,True,0.6808,Positive
18,18,Couple Leisure,Business Class,Belfast to San Francisco via London,5.0,5.0,3.0,5.0,4,1,four pleasant time flight friendly helpful staff guy lhrsfo leg exceptional regret forgotten name negative food sfolhr leg advertised filet steak akin stewing steak inedible sadly occasion food usuk flight sub standard otherwise happy recommend ba,5,2024-06-18,United Kingdom,True,0.5759,Positive
19,19,Couple Leisure,Economy Class,London Heathrow to Keflavik,2.0,3.0,1.0,3.0,2,0,travel extensively year tend use ba regular trip possible recent year overall good service however recently experienced flight delay operational issue flight cancellation poor checkin experience etc last two recent trip one zurich another iceland cancelled return flight hour prior scheduled departure time despite flight showing time problem reported returned iceland experience one worst ever ba flight cancelled due operational reason made matter worse occasion flight quite early went bed around pm night checked flight showed time issue reported went sleep fairly rest assured flight would fine woke discovered flight cancelled without warning left virtually return flight option day soon got worse earliest flight option offered ba day later opted choose tuesday ba left option hadnt acted quickly tuesday availability sure sell leaving u return option wednesday onwards experienced problem ba zurich back december lucky occasion ba offered several flight back day zurich wasnt case iceland left right predicament hotel availability iceland limited non existent given short notice cancelled flight hotel fully booked hire car returned airport logistical point view complete nightmare rebook another hire car find alternative hotel decided search indirect flight online get u back uk sooner another airline good half hour searching came across indirect flight gatwick norwegian air went via oslo total journey time hour ideal car heathrow assessing option virtually none guarantee flight ba tuesday would also proceeded time checking norwegian air flight time looked promising decided get booked additional expense stayed iceland would also incurred additional cost fight back ba insurance company priority return home asap important work personal commitment monday return asap eventually flew back fine norwegian air service received far superior ba boarding process slick flight compared complete shamble ba norwegian air offered full food trolley service soft drink tea also range alcoholic drink compare water snack bar ba flight time eventually landed gatwick shortly expected arrival time got back late home book hire car gatwick morning contacted ba cancel alternative tuesday flight,9,2024-06-18,United Kingdom,False,-0.4946,Negative
20,20,Solo Leisure,Business Class,New York JFK to London Heathrow,5.0,5.0,4.0,1.0,2,1,flight delayed hour due bad weather around jfk however made flight delayed weather lhr spending extra hour americanba lounge jfk ideal cold environment cold staff indifferent traveller need one area exceptionally dirty plate table napkin strewn floor waited drink one serve played game find chipscrisps hidden table dark corner one area crazy expensive route business class feel like rip across airline however quality ba business class much improved introduction suite privacy big improvement seat comfort managed good hr sleep overnight redeye flight food service efficient wanted trick late night aside getting decent rest relatively short flight highlight flight attendant unfortunately didnt catch name superb responsive request made remembered name throughout flight small valued touch often missing business class flight attendant ba good experience round except price reflected value money rating,2,2024-06-17,United Kingdom,True,0.9172,Positive
21,21,Solo Leisure,Premium Economy,London to newark,4.0,4.0,4.0,4.0,3,1,full flight made premium economy feel little le premium expect price however smaller cabin configuration slightly roomier seating made journey relaxing enough catering pretty good inflight service efficient friendly arrived time delay baggage delivery complaint pe served function relatively short hr flight,8,2024-06-17,United Kingdom,True,0.8957,Positive
22,22,Couple Leisure,Economy Class,Florence to Heathrow,1.0,3.0,2.0,1.0,1,0,worst airline ive ever flown could check flight open hour flight day asked husband could fly flight also flying club europe later flight could see online room plane agent said couldnt change flight ticket counter never heard could done online calling british airway already tried online asked telephone number call british airway agent number call looked called several number online got office closed saturday asked ticket agent explained going mother memorial would nice could get flight still refused help stayed flight leaving hour later got cancelled spend night florence routed flight london via edinburgh lost suitcase cant make stuff flight ba got several email message advising delayed decided go gate original flight time guess boarding time cant imagine number people might missed awful awful airline never fly possibly avoid,7,2024-06-16,United States,True,-0.8531,Negative
23,23,Couple Leisure,Business Class,London to Manchester,1.0,5.0,5.0,2.0,4,0,surprised able give favourable review flight european business class typically x seating middle seat group three left empty leg room never generous ba bottom generous barrel respect however occasion least flight one hour issue cabin crew great professional efficient cabin clean aircraft seemed pretty date surprised find business class served afternoon tea complete champagne much nicer poor prosecco lounge three small sandwich chocolate cake choice plain fruit scone strawberry jam clotted cream side wanted tasted great didnt try chocolate cake enough time eat landing crew worked hard complete service time well done,1,2024-06-15,United Kingdom,True,0.9758,Positive
24,24,Solo Leisure,Business Class,London to Amsterdam,5.0,5.0,5.0,4.0,5,1,flew british airway ba london heathrow amsterdam able check ba first class check area terminal fast efficient lounge quite busy however able find space food snack drink available excellent overall service also like ba first class check area security clearance fast boarding little chaotic however boarded time take runway close departing gate therefore delay flight quite good cabin crew meal service,8,2024-06-10,United Kingdom,True,0.855,Positive
25,25,Couple Leisure,Premium Economy,Tokyo to Manchester via London,1.0,3.2397484964461456,2.7078152753108347,1.0,2,0,ba cancelled flight tokyo lhr booked next day flight another flight day went desk flight full ba charge offer another flight hong kong would h flight time declined asked stay next day flight dismay cancelled next day flight without telling think annoyed didnt accept offer spent sometime looking fact one annoyed cancelling flight ended flying another airline downgrading poor service appalling behaviour expect better ba,9,2024-06-09,United Kingdom,True,-0.8979,Negative
26,26,Business,Business Class,Heathrow to San Francisco,1.0,1.0,2.7078152753108347,1.0,1,0,strongly advise everyone never fly british airway know never business class seat booked early morning flight heathrow sf flight cancelled evening flight luckily checked email went bed found canceled called ba waiting minute someone answer call person finally said going move u united air flight leaving hour later heathrow sf next day told u flight number said booked u business class seat took long time get worked got hour sleep night looked like resolved however got heathrow early next morning found ba person complete booking needed united could give u seat said needed call ba get complete change despite numerous attempt could get anyone answer phone ba went hour finally grace god hour stress trying figure found united ticket agent airport personally called ba u got fix problem heathrow ended leaving sf late afternoon totally exhausted united air ticket agent saved u allows u get home also said problem common ba,1,2024-06-06,United States,True,0.9335,Positive
27,27,Couple Leisure,Business Class,Tampa to Gatwick,4.0,3.0,2.0,1.0,2,0,partner ba return flight tampa gatwick excited paid upgrade business class partner fly bc ba lot work second time decided end holiday help u get quality sleep unfortunately also business class two family child long flight listening toddler cry screaming seven eight hour childrens fault however think cabin crew could maybe internvene helped little also ba informed u paid alot money quite frankly could saved money economy ticket least would grand better checking ground staff treating u inconvenience rethink ba moving forward,1,2024-06-03,United Kingdom,True,0.5367,Positive
28,28,Family Leisure,Premium Economy,Los Angeles to London,1.0,1.0,1.0,1.0,1,0,premium economy return flight los angeles london outbound flight cancelled hour notice instead take economy flight via dublin london thats annoying happens really difficult understand ba response since raised claim return flight completed instructed nearly month response one early march title weve forgotten case really sorry youre still waiting response u know long time since contacted u isnt service expect rest assured weve forgotten case customer relation team working extremely hard respond soon possible thank continued patience check status case please accept sincere apology look forward speaking soon called month ago enquire told id hearing within week extremely poor customer service addition inconvenience stress latecancelled flight delay change class flight british airway really seems decline many friend longtime customer like u flight cancelled delayed little commitment make right member flying club year treat loyal customer ba,5,2024-06-01,United States,False,0.0348,Neutral
29,29,Solo Leisure,Economy Class,Hannover to London Heathrow,5.0,4.0,1.0,5.0,3,1,like review flight british airway hannover london heathrow firstly website easy use however object policy put place regard pay preferred seating checkingin online easy process presented fee select seat boarding gate hannover staff superb insisted people larger bag turned bag checkin included staff fair polite imposed policy evenly firm polite manner flight took reasonably ontime cabin crew good coped really well entirely full flight usual small bottle water tiny snack size uk p coin issued passenger flight captain vocal nicest possible way oozed sense professionalism well spoken clear informative announcement disembarkation orderly however cabin crew nowhere seen leaving aircraft given short flight given full nature flight cabin crew deserve applause professionalism experience turned around le positive experience airline month ago well done ground staff cabin crew making pleasant civilized journey,1,2024-06-01,United Kingdom,True,0.9882,Positive
30,30,Family Leisure,Economy Class,Austin to London Heathrow,2.0,3.0,3.0,3.0,3,0,flown british airway time last trip far worst experience werent able check online system wouldnt accept passport info wait check upon arrival airport arrived two hour scheduled departure line backed station staffed room least attendant help expedite check talked people line unable check online took desk attendant hour check people ahead u told agent tried check online wouldnt accept passport replied need verify passport personally asked wouldnt verify way anyway also let know attempted move closer front plane could see seat available couldnt secure couldnt finish check went tell u full flight wouldnt able choose seat reached gate ask agent moving another section confirmed availability flight service expected based previous flight saw flight attendant food service twice pickup trash every time went lavatory least attendant standing around chatting instead taking care passenger attendant seemed uninterested inexperienced even snapping confused passenger regarding seat belt flight attendant disappointing say least available air control vent u option air flow whole plane upon landing went baggage carousel claim bag hour later still bag finally message came loudspeaker elevator plane broken eta bag still unknown minute later bag started slowly appear belt overall worst ba flight weve experienced,9,2024-05-31,United States,True,-0.9413,Negative
31,31,Business,Business Class,Vienna to Johannesburg via London,1.0,2.0,1.0,1.0,3,0,sat plane vienna airport three hour didnt take arriving london sent connecting flight told plane already closed go back terminal flown johannesburg virgin arrived luggage taken received five day later waiting compensation nine month never british airway,2,2024-05-31,Austria,True,0.0,Neutral
32,32,Couple Leisure,Economy Class,Johannesburg to Heathrow,1.0,1.0,2.7078152753108347,1.0,1,0,almost pm supposed take still sitting plane airport worst part technical issue kept u grounded fact offered half glass water entire time board hungry dehydrated helped situation,1,2024-05-30,South Africa,True,-0.6249,Negative
33,33,Solo Leisure,Economy Class,London Heathrow to Singapore,2.0,1.0,1.0,1.0,1,0,booked long haul flight singapore british airway thought could rely provide good reliable service unfortunately wasnt case hence review knowing would able fall asleep watching movie tv show flight entertainment system something looking forward overnight flight however console didnt work instead loud screaming toddler seat behind kept kicking seat baby front two hour already hell journey told buy wifi pas get fully reimbursed followed several time throughout flight cabin crew assured take note seat number someone customer service contact reimbursement wasnt case waiting several day contacted instead reimbursement use towards nice meal holiday theyve given avios never want fly give service point told cabin crew would refunded reason even bought wifi pas even good enough watch anything connection quality poor waste flight hr life never get back forever remember remember ba brand longer cabin crew seemed overworked overwhelmed even pressed attention buzzer one came avoid booking ba go ahead,1,2024-05-29,United Kingdom,True,-0.2076,Negative
34,34,Couple Leisure,Business Class,London Heathrow to Hong Kong,2.0,3.0,2.0,2.0,1,0,premium price subpar product flew ba lhr hkg return may originally booked aircraft allocated club suite paid seat selection couple month prior trip aircraft changed layout yinyang seat configuration allocated middle seat paid select window aisle hard product poor seat space lack form storage remains accessible seat flat position nowhere put spec book phone additionally window seat passenger climb foot another passenger use toilet etc really poor layout plane leg journey tired shabby crew outward journey enthusiastic helpful return crew seemed le adept managing service outbound catering acceptable presentation tiny plate compare favourably competitor catering inbound poor welcome champagne truly awful poor product premium price sad say pair selffunding passenger wont choose repeat experience lounge heathrow outbound sector packed rafter poor experience disappointing,2,2024-05-26,United Kingdom,True,-0.9359,Negative
35,35,Solo Leisure,Economy Class,Boston to London,2.8635249250885315,3.2397484964461456,2.7078152753108347,1.0,3,0,really terrible user experience british airway website full glitch cant even choose seat due cookie problem never problem airline,3,2024-05-20,United States,True,-0.5907,Negative
36,36,Couple Leisure,Economy Class,New York to Manchester via London,4.0,5.0,5.0,4.0,4,1,impressed ba check online little convoluted everything great flew standard economy paid choose seat seems standard airline keep initial price worth could sit together meal excellent drink great simple water biscuit short internal leg still included drink main meal snack hour leg better last trip emirate gave double drink drink service coke beer partner well pleased staff friendly bag transfered arrived good condition entertainment route good definitely choose ba airline,3,2024-05-18,United Kingdom,True,0.9891,Positive
37,37,Family Leisure,Business Class,London to San Francisco,2.0,5.0,4.0,5.0,2,0,lhr sfo la lgw august club world shame british airway experience split mixture fantastic ground cabin crew dated product dreadful service flight san francisco interior showing age two seat issue would recline dividing screen next seat would stay temperamental recline ife would respond control crew board great dated aging product top dollar charged upgraded year ago shame great aircraft coming back la vega lgw tired informed check issue seat prebooked paid would need moved seat moved fine worked original seat people appeared fine flight late landing departing due weather condition vega aircraft turned round super quick time impressive ba really let flight experience month got acknowledgement avios credit issue flight sfo still waiting month later avios point used pay seat selection refunded la vega london gatwick leg flight despite numerous attempt contact havent got back u avios account page ba wont load recent transaction list flight weve taken last month wont travelling ba long long time dated poorly maintained board product appalling customer service,9,2024-05-14,United Kingdom,True,0.9118,Positive
38,38,Couple Leisure,Economy Class,Malaga to Boston via London,2.0,2.0,1.0,1.0,2,0,flew malaga via lhr boston th may arrival boston discovered luggage still london filed report day later sign luggage baggage customer service joke interested client giving good service update useless know luggage sitting boston since th air tag inside airline seem intention getting luggage robot fb messenger twitter useless opened complaint checked update complaint case closed despite never contacted human airline joke ever get luggage back doubt ever fly worse air canada book saying something,3,2024-05-08,Canada,False,-0.4939,Negative
39,39,Couple Leisure,Business Class,Milan Linate to Miami via London Heathrow,1.0,2.0,3.0,2.0,1,0,milan miami return via london worst business class ever layout ba crazy width seat outrageous aisle seat shame ba length ok jump leg another passenger heshe sleeping mode unbelievable system divider reach seat crew absurd awful never layout meal average lhr mia return quite good unfortunately ba flew march qatar airway business class comparable highlight difference ba row seat qr seat thats top service quite strange mainly due divider boarding procedure look well organized beginning boarding become quite messy,2,2024-05-08,Italy,True,-0.9148,Negative
40,40,Couple Leisure,Economy Class,Catania to Gatwick,2.0,1.0,1.0,3.0,1,0,ba created new lowcost subsidiary ba euroflyer flight london gatwick passenger point view meant mean difference service ba mainline shorthaul heathrow however definitely inferior firstly seat ba promised keep old much comfortable pinnacle seat row refurbishment plane slimline seat however ba euroflyer seems whole plane installed plane despite snagging seat row ended still horrible back breaking seat lumbar support headrest one positive new seat meant atseat power charge device didnt either onboard service meant include complimentary food drink namely sweet savoury snack small bottle harrogate spa water got horrible nairns raisin oat biscuit without asking wed like choice water return flight explicitly announced wed offered glass water free offered service snack sole choice pack mcvities milk chocolate digestive hardly premium downgrade alternative upmarket offering weve received flying heathrow way back nonrefurbished plane pinnacle seat welcome however clearly plane maintained one toilet water flowing tap irritating soap wash hand going toilet went rinse hand toilet luckily wasnt busy tap working sink wasnt draining almost overflowed lastly cabin crew ba euroflyer unpolished look miserable extremely demotivated lot young talking late teen clearly inexperienced likely stay long condition offered ba really need rethink product offering shorthaul ultimately people choose fly variety reason invariably reason like u dont fly lowcost rival want peace mind le stress comfortable replicating like ryanair easyjet wizz air alienating customer choose ba avoid kind experience offer award ticket looking cash ticket theyre even cheap offer better timing rival despite beancounting,1,2024-05-07,United Kingdom,True,0.9912,Positive
41,41,Solo Leisure,Economy Class,London to Hannover,3.0,3.0,2.7078152753108347,1.0,1,0,flew british airway heathrow hannover although checkin process relatively quick noticeable lack staffanother apparent costcutting measure ba upon arriving hannover found luggage hadnt made airport staff assist file report online following day received call saying luggage would arrive later flight didnt help since german shop closed sunday leaving without essential item result confined hotel unable attend planned event didnt suitable clothing luggage eventually reached hannover airport got call ba informing couldnt deliver another day two advised take taxi pick said could claim back cost submitted claim ba refused cover taxi expense also declined offer compensation inconvenience caused delayed baggage even though disrupted full day trip service return flight frankfurt also par ground crew frankfurt airport slow rude check ba customer service declined significantly resembling level budget airline like easyjet ryanairbut premium price given recent experience avoid flying ba whenever possible,4,2024-05-05,United Kingdom,True,-0.8875,Negative
42,42,Solo Leisure,Economy Class,Manchester to Copenhagen via London,3.0,3.0,2.0,4.0,4,1,manchester copenhagen via london th april aircraft respectively decent condition arrived africa transit change terminal cumbersome tedious checkin quick easy professional got desired seat due silver status ba go one worst security check ever encountered fragmenting almost every item carryons escape lounge quite decent particular beer choice prosecco sparkling wine food poor neither savoury snack meaty food good tarmac view first flight delayed forcing catch nd lhr within ½ hour however informed clearly gate upon arriving lhr assisting next gate airline managed transfer luggage extremely narrow timeslot onboard minibottle water bagged crumb given fairly useless superfluous ife wifi annoying charity begging fa flight intrusive annoying disrespectful degrades airline offering onboard like discount carrier except pricier arrived final destination time luggage,2,2024-05-01,Denmark,True,0.296,Neutral
43,43,Solo Leisure,Economy Class,London to Valencia,1.0,1.0,2.7078152753108347,1.0,1,0,never seen disrespect customer rd time month unable checkin website working properly lost hour phone customer service team airport asked check hand luggage space cabin could recline seat staff rude unhelpful wifi also working made multiple complaint one ever even contacted never using,6,2024-04-30,United Kingdom,True,-0.2425,Negative
44,44,Business,Economy Class,Singapore to London,3.0,3.0,3.0,1.0,1,0,paid hour long flight ticket includes use inflight entertainment system ended seat inflight entertainment system malfunctioning could used flight attendant sought perform service recovery customer relation team contacted said team slightly week later offer evoucher used purchasing additional flight ticket ba explained intention travelling within next two year use evoucher sought alternative form compensation instead something could really useful instead customer relation simply brushed request unable offer alternate gesture goodwill compensation british airway matter goodwill pay ticket dont get paid full compensation one requires spend even money airline disappoint ultimately selfserving inconsiderate undiscerning insincere compensation isnt even anything feel guilty remorseful compensation gesture goodwill something dont deserve view,1,2024-04-27,Singapore,True,-0.5584,Negative
45,45,Business,Economy Class,Madrid to London Heathrow,3.0,1.0,1.0,2.0,1,0,inconsiderate pa announcement made purser appearingly decided exchange career ba comedy club acting although right setting first prelanding pa colleague long week british airway dimming light dont want see face afraid dark look passenger next although clearly purser intent sounded like mocking careless people aero darkness phobia may panic attack joke inconsiderate damage ba brand safe accessible trusted airline second pa landing youd like make complaint go call easyjet felt genuinely insulted joke ba charged abusive fee end literally beg rude dismissive ground staff madrid check roller bag gate recently surgery needed hold onto walk instant noodle purchased onboard barely edible cabin crew except one disappeared galley loudly chatting laughing looked nuisance even wanted pas visit lavatory chief purser effectively announces anyone unhappy go fly someone else wake ba already worse easyjet ryanair term value money note one found purser joke funny cabin crew made vulgar laugh passenger remained dead silent understand airline scaling back service cut cost never understand allow staff openly mock insult passenger ba silver member loyal ba customer year disgrace,1,2024-04-25,United Kingdom,True,-0.9726,Negative
46,46,Solo Leisure,Economy Class,Austin to London Heathrow,3.0,2.0,1.0,1.0,1,0,absolutely terrible lost luggage flight delivered day later smashed piece lete departure caused miss connecting flight yielding hour delay aircraft oversubscribed dirty unpleasant persistent odour food genuinely horrible im ex force ill eat almost anything usually,1,2024-04-22,United Kingdom,True,-0.9646,Negative
